/NM1/D X,/NM1/D Y
0,2.752240855964013e-12
0.024,2.729525829961884e-12
0.048,2.72505209947235e-12
0.07200000000000001,2.753101076988793e-12
0.096,2.844533930683623e-12
0.12,3.065037597224179e-12
0.144,3.553514894558097e-12
0.168,4.602795471402427e-12
0.192,6.829168451388082e-12
0.216,1.152807162985973e-11
0.24,2.141916381723452e-11
0.264,4.220350787722827e-11
0.288,8.580715085010855e-11
0.312,1.771033185309703e-10
0.336,3.677361737156877e-10
0.36,7.642087155797538e-10
0.3840000000000001,1.583894800752415e-09
0.4080000000000001,3.263522559568427e-09
0.4320000000000001,6.659941647063555e-09
0.4560000000000001,1.339627222761756e-08
0.4800000000000001,2.63958104591026e-08
0.5040000000000001,5.056730766879981e-08
0.5280000000000001,9.341771527307398e-08
0.5520000000000002,1.651362549436303e-07
0.5760000000000002,2.777456993628193e-07
0.6000000000000002,4.436924495583562e-07
0.6240000000000002,6.752349776077555e-07
0.6480000000000002,9.85516994294415e-07
0.6720000000000003,1.390434059663597e-06
0.6960000000000003,1.909749028498716e-06
0.7200000000000003,2.566832346709091e-06
0.7440000000000003,3.387311017795298e-06
0.7680000000000003,4.397148819537132e-06
0.7920000000000004,5.62060742723152e-06
0.8160000000000004,7.078442207211159e-06
0.8400000000000004,8.786592715777811e-06
0.8640000000000004,1.075550527888704e-05
0.8880000000000005,1.299008571361026e-05
0.9120000000000005,1.549016454928899e-05
0.9360000000000005,1.825129522741256e-05
0.9600000000000005,2.126570102044808e-05
0.9840000000000005,2.452322135993182e-05
1.008,2.801215941113659e-05
1.032,3.171998167064604e-05
1.056,3.56338575574886e-05
1.080000000000001,3.974105031555952e-05
1.104000000000001,4.402918216217743e-05
1.128000000000001,4.848640006259061e-05
1.152000000000001,5.31014671447921e-05
1.176000000000001,5.786380111015645e-05
1.2,6.276347665254307e-05
