/PM0/D X,/PM0/D Y
0,-3.280535716900233e-09
0.024,-3.275611921449787e-09
0.048,-3.270670623603728e-09
0.07200000000000001,-3.265711221316128e-09
0.096,-3.26073307174603e-09
0.12,-3.255735483121083e-09
0.144,-3.250717703025419e-09
0.168,-3.245678898702419e-09
0.192,-3.240618118939057e-09
0.216,-3.23553421257291e-09
0.24,-3.230425643636116e-09
0.264,-3.225290058671343e-09
0.288,-3.220123257953475e-09
0.312,-3.214916730641848e-09
0.336,-3.209651727468898e-09
0.36,-3.204284981809774e-09
0.3840000000000001,-3.198714282185914e-09
0.4080000000000001,-3.192695430699601e-09
0.4320000000000001,-3.185641900344461e-09
0.4560000000000001,-3.176141448475984e-09
0.4800000000000001,-3.160789745535632e-09
0.5040000000000001,-3.131375950502171e-09
0.5280000000000001,-3.068091493221773e-09
0.5520000000000002,-2.923142739830914e-09
0.5760000000000002,-2.58120792912847e-09
0.6000000000000002,-1.764018588706875e-09
0.6240000000000002,1.998884984291441e-10
0.6480000000000002,4.930767130773094e-09
0.6720000000000003,1.633833177113285e-08
0.6960000000000003,4.38568328434195e-08
0.7200000000000003,1.102513644570123e-07
0.7440000000000003,2.704545285188974e-07
0.7680000000000003,6.570186633893076e-07
0.7920000000000004,1.589786170113919e-06
0.8160000000000004,3.840484423738823e-06
0.8400000000000004,9.270950241939757e-06
0.8640000000000004,2.237172076573658e-05
0.8880000000000005,5.396618030297033e-05
0.9120000000000005,0.0001300993359318591
0.9360000000000005,0.000313201307294651
0.9600000000000005,0.0007515286043695881
0.9840000000000005,0.001618338252390176
1.008,0.002541083167428734
1.032,0.003463828085915636
1.056,0.004386573010010279
1.080000000000001,0.005309317943906653
1.104000000000001,0.006232062896617566
1.128000000000001,0.007154807890280903
1.152000000000001,0.008077552990026311
1.176000000000001,0.009000298438462217
1.2,0.009923045349887449
