/NM0/D X,/NM0/D Y
0,1.332296203617988e-12
0.024,1.395446595282371e-12
0.048,1.53616513514197e-12
0.07200000000000001,1.841404083750378e-12
0.096,2.495891243120492e-12
0.12,3.891748095739855e-12
0.144,6.86059121635318e-12
0.168,1.316427451785653e-11
0.192,2.653042406698108e-11
0.216,5.483125112831516e-11
0.24,1.146480671169825e-10
0.264,2.407706313706316e-10
0.288,5.05764666819749e-10
0.312,1.059637542602555e-09
0.336,2.208250884579894e-09
0.36,4.562352194485883e-09
0.3840000000000001,9.303942573847901e-09
0.4080000000000001,1.861860987021544e-08
0.4320000000000001,3.629600106821147e-08
0.4560000000000001,6.835808209558369e-08
0.4800000000000001,1.233458714772318e-07
0.5040000000000001,2.11806778494631e-07
0.5280000000000001,3.450532716341267e-07
0.5520000000000002,5.343175064064144e-07
0.5760000000000002,7.914711236974601e-07
0.6000000000000002,1.130874060365659e-06
0.6240000000000002,1.570846980369068e-06
0.6480000000000002,2.13391451082573e-06
0.6720000000000003,2.845937328984318e-06
0.6960000000000003,3.734576238656492e-06
0.7200000000000003,4.827476938178344e-06
0.7440000000000003,6.150482893470032e-06
0.7680000000000003,7.72613043541531e-06
0.7920000000000004,9.572607116549351e-06
0.8160000000000004,1.170324852748685e-05
0.8400000000000004,1.412653846991054e-05
0.8640000000000004,1.684649708248177e-05
0.8880000000000005,1.9863307432537e-05
0.9120000000000005,2.317403812354951e-05
0.9360000000000005,2.677335096355636e-05
0.9600000000000005,3.065412144729643e-05
0.9840000000000005,3.480793399318714e-05
1.008,3.922543830246784e-05
1.032,4.389656735904928e-05
1.056,4.881062344335031e-05
1.080000000000001,5.395623899353242e-05
1.104000000000001,5.932121740141762e-05
1.128000000000001,6.489225847134018e-05
1.152000000000001,7.065457879447633e-05
1.176000000000001,7.659145428115733e-05
1.2,8.268374573546435e-05
