/NM0/D X,/NM0/D Y
0,2.483185822927403e-12
0.024,2.521735266262978e-12
0.048,2.643254061434732e-12
0.07200000000000001,2.936190944668731e-12
0.096,3.589139203249033e-12
0.12,5.003010858368501e-12
0.144,8.028556049393252e-12
0.168,1.446855623094744e-11
0.192,2.81374869784864e-11
0.216,5.70909658804092e-11
0.24,1.182959017540551e-10
0.264,2.473482224252021e-10
0.288,5.184854845172599e-10
0.312,1.085139634920851e-09
0.336,2.260055912983205e-09
0.36,4.667426056815156e-09
0.3840000000000001,9.51440271736656e-09
0.4080000000000001,1.903076377045808e-08
0.4320000000000001,3.707718962969081e-08
0.4560000000000001,6.977665174116372e-08
0.4800000000000001,1.257920227800307e-07
0.5040000000000001,2.157910254385964e-07
0.5280000000000001,3.511883402274995e-07
0.5520000000000002,5.433161010729302e-07
0.5760000000000002,8.041832855635553e-07
0.6000000000000002,1.148349567528773e-06
0.6240000000000002,1.594393569280207e-06
0.6480000000000002,2.165136822818247e-06
0.6720000000000003,2.886755329081497e-06
0.6960000000000003,3.787226542147569e-06
0.7200000000000003,4.894501774135575e-06
0.7440000000000003,6.234712748021533e-06
0.7680000000000003,7.830667474376193e-06
0.7920000000000004,9.700816487208961e-06
0.8160000000000004,1.185876361105661e-05
0.8400000000000004,1.43132847782082e-05
0.8640000000000004,1.706873852915921e-05
0.8880000000000005,2.012571864966282e-05
0.9120000000000005,2.348180751178912e-05
0.9360000000000005,2.713232126268257e-05
0.9600000000000005,3.10709777978471e-05
0.9840000000000005,3.529045383861355e-05
1.008,3.978282329126727e-05
1.032,4.453988496498369e-05
1.056,4.955339558679728e-05
1.080000000000001,5.481522642315961e-05
1.104000000000001,6.031746095906774e-05
1.128000000000001,6.605244864658947e-05
1.152000000000001,7.201282677119215e-05
1.176000000000001,7.819151957419028e-05
1.2,8.458172118713347e-05
