/NM0/D X,/NM0/D Y
0,1.829035852758623e-12
0.024,1.887830858869392e-12
0.048,2.025628312342052e-12
0.07200000000000001,2.330358607473686e-12
0.096,2.988920070434642e-12
0.12,4.398116144702972e-12
0.144,7.399549471876111e-12
0.168,1.377626355552184e-11
0.192,2.73007058526476e-11
0.216,5.593962230181537e-11
0.24,1.164729884608278e-10
0.264,2.441058757118465e-10
0.288,5.122653776176394e-10
0.312,1.072723774466846e-09
0.336,2.234891947184762e-09
0.36,4.616454644377111e-09
0.3840000000000001,9.412406825358963e-09
0.4080000000000001,1.883120911513091e-08
0.4320000000000001,3.669938543173879e-08
0.4560000000000001,6.909159231123193e-08
0.4800000000000001,1.246129324611081e-07
0.5040000000000001,2.138749709330323e-07
0.5280000000000001,3.482457573557252e-07
0.5520000000000002,5.390122349790147e-07
0.5760000000000002,7.981203547937246e-07
0.6000000000000002,1.140037412664347e-06
0.6240000000000002,1.583223350332859e-06
0.6480000000000002,2.150365047006078e-06
0.6720000000000003,2.867498676198424e-06
0.6960000000000003,3.762465781423597e-06
0.7200000000000003,4.863092556562122e-06
0.7440000000000003,6.195400524494828e-06
0.7680000000000003,7.782103401027499e-06
0.7920000000000004,9.641571345737736e-06
0.8160000000000004,1.17873374863502e-05
0.8400000000000004,1.422811117445003e-05
0.8640000000000004,1.696818241634989e-05
0.8880000000000005,2.000806841458525e-05
0.9120000000000005,2.334526091110142e-05
0.9360000000000005,2.6974965313877e-05
0.9600000000000005,3.089076219104733e-05
0.9840000000000005,3.508515697300885e-05
1.008,3.955000945969259e-05
1.032,4.427685051328915e-05
1.056,4.925710101491607e-05
1.080000000000001,5.448221029960067e-05
1.104000000000001,5.994373009217235e-05
1.128000000000001,6.563333707172918e-05
1.152000000000001,7.154281361632567e-05
1.176000000000001,7.766399258173368e-05
1.2,8.398866841224956e-05
