/NM0/D X,/NM0/D Y
0,2.682939723856925e-12
0.024,2.664693163363556e-12
0.048,2.661022479067346e-12
0.07200000000000001,2.683248522752722e-12
0.096,2.755767659606024e-12
0.12,2.93035925833547e-12
0.144,3.316202348193583e-12
0.168,4.142804200956502e-12
0.192,5.89181960755571e-12
0.216,9.572894886771087e-12
0.24,1.730009868014851e-11
0.264,3.349413960974735e-11
0.288,6.738261024990603e-11
0.312,1.381776322050307e-10
0.336,2.857287306699008e-10
0.36,5.922230522337839e-10
0.3840000000000001,1.225709714993363e-09
0.4080000000000001,2.525317432267614e-09
0.4320000000000001,5.161961131679309e-09
0.4560000000000001,1.042424157323295e-08
0.4800000000000001,2.068283302874834e-08
0.5040000000000001,4.004252786830392e-08
0.5280000000000001,7.504961078647077e-08
0.5520000000000002,1.350838547567672e-07
0.5760000000000002,2.31928530652679e-07
0.6000000000000002,3.784430865704836e-07
0.6240000000000002,5.873419469220201e-07
0.6480000000000002,8.714592258911774e-07
0.6720000000000003,1.245440389423832e-06
0.6960000000000003,1.727344136534365e-06
0.7200000000000003,2.338979897934412e-06
0.7440000000000003,3.104923830445038e-06
0.7680000000000003,4.05071658436234e-06
0.7920000000000004,5.200769799092912e-06
0.8160000000000004,6.576399951266981e-06
0.8400000000000004,8.194302695368568e-06
0.8640000000000004,1.006565772290924e-05
0.8880000000000005,1.219590792615259e-05
0.9120000000000005,1.458512192482229e-05
0.9360000000000005,1.722876361432381e-05
0.9600000000000005,2.011866948511548e-05
0.9840000000000005,2.324406128671298e-05
1.008,2.659247356343022e-05
1.032,3.01505303314632e-05
1.056,3.390454935075781e-05
1.080000000000001,3.784098164698056e-05
1.104000000000001,4.194670945651781e-05
1.128000000000001,4.62092312807614e-05
1.152000000000001,5.06167621100488e-05
1.176000000000001,5.515827316223065e-05
1.2,5.982349069715364e-05
