0.000,3.818E-12
24.00E-3,3.751E-12
48.00E-3,3.782E-12
72.00E-3,4.000E-12
96.00E-3,4.593E-12
120.0E-3,5.965E-12
144.0E-3,8.974E-12
168.0E-3,15.44E-12
192.0E-3,29.22E-12
216.0E-3,58.45E-12
240.0E-3,120.3E-12
264.0E-3,250.7E-12
288.0E-3,524.7E-12
312.0E-3,1.097E-9
336.0E-3,2.284E-9
360.0E-3,4.716E-9
384.0E-3,9.612E-9
408.0E-3,19.22E-9
432.0E-3,37.44E-9
456.0E-3,70.43E-9
480.0E-3,126.9E-9
504.0E-3,217.6E-9
528.0E-3,354.0E-9
552.0E-3,547.4E-9
576.0E-3,809.9E-9
600.0E-3,1.156E-6
624.0E-3,1.605E-6
648.0E-3,2.179E-6
672.0E-3,2.905E-6
696.0E-3,3.810E-6
720.0E-3,4.923E-6
744.0E-3,6.271E-6
768.0E-3,7.875E-6
792.0E-3,9.755E-6
816.0E-3,11.92E-6
840.0E-3,14.39E-6
864.0E-3,17.16E-6
888.0E-3,20.23E-6
912.0E-3,23.60E-6
936.0E-3,27.27E-6
960.0E-3,31.23E-6
984.0E-3,35.47E-6
1.008,39.98E-6
1.032,44.76E-6
1.056,49.80E-6
1.080,55.09E-6
1.104,60.62E-6
1.128,66.39E-6
1.152,72.38E-6
1.176,78.59E-6
1.200,85.02E-6
