/NM0/D X,/NM0/D Y
0,8.132110965510086e-13
0.024,8.21342024168898e-13
0.048,8.391092621336641e-13
0.07200000000000001,8.770813556869238e-13
0.096,9.574662021080175e-13
0.12,1.126907908696039e-12
0.144,1.483329460793702e-12
0.168,2.232203709876195e-12
0.192,3.804426400379923e-12
0.216,7.102985195817654e-12
0.24,1.401846037664496e-11
0.264,2.850429044234602e-11
0.288,5.881340292820704e-11
0.312,1.221312741562493e-10
0.336,2.541125857681467e-10
0.36,5.283212960595213e-10
0.3840000000000001,1.095264872265513e-09
0.4080000000000001,2.258953761833903e-09
0.4320000000000001,4.621677163842912e-09
0.4560000000000001,9.342682620767955e-09
0.4800000000000001,1.856128936463781e-08
0.5040000000000001,3.599801535018074e-08
0.5280000000000001,6.762213544703773e-08
0.5520000000000002,1.220546182711732e-07
0.5760000000000002,2.102304941151082e-07
0.6000000000000002,3.442001924634999e-07
0.6240000000000002,5.359417355599558e-07
0.6480000000000002,7.975019719782822e-07
0.6720000000000003,1.142524987511908e-06
0.6960000000000003,1.587787954952448e-06
0.7200000000000003,2.15358261184462e-06
0.7440000000000003,2.862827386226202e-06
0.7680000000000003,3.739362942617405e-06
0.7920000000000004,4.80592849863501e-06
0.8160000000000004,6.082220091041235e-06
0.8400000000000004,7.58333533127658e-06
0.8640000000000004,9.318794866657821e-06
0.8880000000000005,1.129219119565816e-05
0.9120000000000005,1.350138314497241e-05
0.9360000000000005,1.593906759867116e-05
0.9600000000000005,1.859353514482709e-05
0.9840000000000005,2.144944433307085e-05
1.008,2.448850917949911e-05
1.032,2.769006611203854e-05
1.056,3.103155466183205e-05
1.080000000000001,3.44889973259813e-05
1.104000000000001,3.803758079032944e-05
1.128000000000001,4.165240535228807e-05
1.152000000000001,4.530938186018475e-05
1.176000000000001,4.898615272354549e-05
1.2,5.266285861041132e-05
